rollout/episodes,reference_action_std,eval/return,eval/episodes,rollout/return_history,rollout/return,total/duration,ret_rms_std,total/epochs,rollout/Q_mean,obs_rms_std,ret_rms_mean,total/episodes,reference_Q_std,rollout/actions_mean,total/steps_per_second,eval/Q,total/steps,reference_actor_Q_mean,reference_actor_Q_std,rollout/actions_std,eval/return_history,reference_action_mean,train/loss_critic,train/loss_actor,obs_rms_mean,reference_Q_mean,train/param_noise_distance,rollout/episode_steps
585.0,0.9015923738479614,710.2320209371129,585.0,860.2844458012728,798.7656669694901,10841.109945058823,1.0,585,275.46856689453125,2.8329153060913086,0.0,585.0,0.9618886113166809,-0.05966827645897865,53.9612643875669,243.20704650878906,585000,384.0102844238281,1.3456807136535645,0.6740520000457764,1075.7815090023678,0.14084835350513458,117.23224639892578,-328.0967712402344,0.16270597279071808,381.6029052734375,0.0,1000.0
586.0,0.8892935514450073,97.95815602760007,586.0,848.5042717792802,797.6781690089805,10859.957250595093,1.0,586,275.26397705078125,2.8348402976989746,0.0,586.0,1.213382601737976,-0.059853680431842804,53.959696753676354,186.39280700683594,586000,382.67303466796875,1.2428919076919556,0.6743188500404358,1062.9365283687046,0.1203189268708229,142.22149658203125,-323.7677001953125,0.16271451115608215,380.71063232421875,0.0,1000.0
587.0,0.9127134084701538,749.454816355503,587.0,836.7026831853949,796.6718546405571,10878.737758159637,1.0,587,275.0231628417969,2.8368804454803467,0.0,587.0,1.2222973108291626,-0.06005433201789856,53.95846586702749,262.9954528808594,587000,383.38330078125,1.1249678134918213,0.6746534109115601,1055.3092098225345,0.137861430644989,133.2169952392578,-323.255859375,0.16271796822547913,381.43414306640625,0.0,1000.0
588.0,0.9164956212043762,-88.67592319429008,588.0,827.6618129817111,795.9521039178004,10897.584405899048,1.0,588,274.9362487792969,2.8382585048675537,0.0,588.0,1.727388620376587,-0.06010425463318825,53.956911742909334,177.76475524902344,588000,383.7757873535156,1.3619601726531982,0.674904465675354,1037.7614760078807,0.17920486629009247,130.2197723388672,-324.1098937988281,0.16274534165859222,380.3154296875,0.0,1000.0
589.0,0.8952018618583679,543.9471069244405,589.0,829.0988919819698,796.351629023202,10916.38947057724,1.0,589,275.0647888183594,2.8387563228607178,0.0,589.0,2.2375707626342773,-0.060005057603120804,53.95556851352013,256.86614990234375,589000,384.7637939453125,3.212613105773926,0.6749279499053955,1026.3014436276585,0.15412499010562897,113.50254821777344,-322.82025146484375,0.1627846360206604,381.00860595703125,0.0,1000.0
590.0,0.8865050673484802,872.4954742336058,590.0,826.5574540798596,796.7574199740973,10935.195529460907,1.0,590,275.1964416503906,2.8394455909729004,0.0,590.0,2.3595664501190186,-0.059955816715955734,53.95422499858001,293.54364013671875,590000,384.1803894042969,2.841331720352173,0.6749488711357117,1018.4581481567702,0.1490790843963623,38.980384826660156,-323.8388366699219,0.1628139317035675,381.7481689453125,0.0,1000.0
591.0,0.8990969061851501,1004.6627313698152,591.0,824.7956418720984,797.4633946217297,10954.005916833878,1.0,591,275.3890075683594,2.8397417068481445,0.0,591.0,2.1255080699920654,-0.05994914472103119,53.952864777237714,311.7088623046875,591000,383.3267517089844,2.5707638263702393,0.6749156713485718,1012.1236018357056,0.1069871187210083,112.80419158935547,-320.6224365234375,0.1628330498933792,380.69964599609375,0.0,1000.0
592.0,0.9037859439849854,587.2160460775857,592.0,835.9756178709996,798.5111638123756,10972.754949331284,1.0,592,275.5843811035156,2.8399758338928223,0.0,592.0,2.769836902618408,-0.06007390096783638,53.95181089285863,257.7706604003906,592000,382.71588134765625,3.1100077629089355,0.6749218106269836,1001.287391246949,0.1312635838985443,197.88681030273438,-320.9938659667969,0.16286633908748627,380.2641906738281,0.0,1000.0
593.0,0.8524197340011597,543.4561103320082,593.0,833.8463932757943,799.0030355879071,10991.606930732727,1.0,593,275.7762756347656,2.839974880218506,0.0,593.0,3.7974700927734375,-0.06010207161307335,53.95025529360603,232.86399841308594,593000,381.1161193847656,3.6189067363739014,0.6748757362365723,994.2131586181301,0.22628259658813477,155.4782257080078,-325.2306823730469,0.16286031901836395,377.8737487792969,0.0,1000.0
594.0,0.7425841093063354,384.3514310019557,594.0,828.2357271917266,798.8397485872187,11010.589256286621,1.0,594,275.9037170410156,2.8403632640838623,0.0,594.0,1.6652982234954834,-0.0602264441549778,53.9480663726375,223.7113800048828,594000,382.40771484375,1.7679911851882935,0.6749151349067688,983.2814721174047,0.36297598481178284,84.91510009765625,-324.99853515625,0.16283738613128662,380.1260986328125,0.0,1000.0
