rollout/episodes,reference_actor_Q_mean,eval/Q,eval/episodes,total/steps,total/episodes,reference_action_std,total/duration,reference_action_mean,train/loss_critic,rollout/actions_mean,obs_rms_mean,rollout/episode_steps,reference_Q_std,rollout/Q_mean,eval/return,rollout/return,total/epochs,train/param_noise_distance,reference_actor_Q_std,rollout/actions_std,obs_rms_std,train/loss_actor,eval/return_history,rollout/return_history,total/steps_per_second,reference_Q_mean,ret_rms_mean,ret_rms_std
51.0,116.05599975585938,111.1016616821289,51.0,51000,51.0,0.583608090877533,916.7878894805908,0.015469297766685486,12.370285987854004,0.016909828409552574,0.05018005147576332,1000.0,8.747776985168457,72.81095886230469,-216.5649863110291,89.25175964185527,51,0.0,8.629438400268555,0.5985361933708191,1.7508623600006104,-122.82772827148438,226.43340095081754,89.25175964185527,55.62900708570029,114.99956512451172,0.0,1.0
52.0,116.83413696289062,136.905517578125,52.0,52000,52.0,0.5910996794700623,934.6501383781433,0.08469682931900024,19.715147018432617,0.01924688182771206,0.05142584070563316,1000.0,10.426891326904297,73.51020812988281,597.3065673099436,86.70186631685925,52,0.0,10.416756629943848,0.6012899875640869,1.7691278457641602,-124.15673828125,233.56557722695456,86.70186631685925,55.63579126006795,115.69104766845703,0.0,1.0
53.0,117.86433410644531,135.499755859375,53.0,53000,53.0,0.6619765162467957,952.5204355716705,-0.05633729696273804,26.697744369506836,0.015204867348074913,0.05044836178421974,1000.0,11.305137634277344,74.72508239746094,142.6538820443147,98.88544200629208,53,0.0,11.117209434509277,0.60226970911026,1.7718976736068726,-125.56941223144531,231.85026222350854,98.88544200629208,55.64185084196245,116.80654907226562,0.0,1.0
54.0,119.03746032714844,138.9501953125,54.0,54000,54.0,0.5772551894187927,970.3758187294006,-0.02693367935717106,15.51794147491455,0.013529227115213871,0.04976191744208336,1000.0,10.517062187194824,75.90216827392578,334.3478434984398,107.2543330142575,54,0.0,10.460738182067871,0.6024842262268066,1.7743505239486694,-127.41935729980469,233.7483655804517,107.2543330142575,55.648542510784125,118.22808837890625,0.0,1.0
55.0,120.22781372070312,143.5792236328125,55.0,55000,55.0,0.6203993558883667,988.1690835952759,0.09357724338769913,15.421736717224121,0.010126705281436443,0.04881599545478821,1000.0,12.010342597961426,77.08692169189453,654.1081357048482,112.33935216428846,55,0.0,11.9961519241333,0.6054014563560486,1.7755968570709229,-130.1363525390625,241.39127049180433,112.33935216428846,55.658490953686155,119.28595733642578,0.0,1.0
56.0,121.06578826904297,142.0696563720703,56.0,56000,56.0,0.6387436389923096,1006.0049126148224,0.051187727600336075,24.095691680908203,0.008591585792601109,0.048976290971040726,1000.0,12.818467140197754,77.89302062988281,367.48001987364694,112.29601186490802,56,0.0,13.042243957519531,0.6060996651649475,1.7777024507522583,-131.6090850830078,243.64285530219445,112.29601186490802,55.665732142842124,120.26158905029297,0.0,1.0
57.0,123.35218811035156,128.57522583007812,57.0,57000,57.0,0.6792775392532349,1023.9369957447052,-0.0745435506105423,16.614891052246094,0.007040828000754118,0.04805913195014,1000.0,13.663230895996094,79.0563735961914,23.73956833643149,115.88084360551291,57,0.0,13.008479118347168,0.6076999306678772,1.7804300785064697,-133.32952880859375,239.78490289928632,115.88084360551291,55.66748758652297,121.74293518066406,0.0,1.0
58.0,124.34220886230469,144.28439331054688,58.0,58000,58.0,0.6430839896202087,1041.8265988826752,0.028039047494530678,28.1569766998291,0.005647327750921249,0.04774533212184906,1000.0,13.990870475769043,80.2042465209961,580.3531469035108,125.25257341839152,58,0.0,14.019998550415039,0.6079983711242676,1.7837743759155273,-135.79376220703125,245.65676917522126,125.25257341839152,55.67145248758584,123.28425598144531,0.0,1.0
59.0,127.38980865478516,153.8374786376953,59.0,59000,59.0,0.6328837275505066,1059.7831695079803,0.05382348969578743,20.135446548461914,0.004766994155943394,0.047507744282484055,1000.0,13.996745109558105,81.19996643066406,859.4252766649627,125.88863731912062,59,0.0,14.303674697875977,0.609387218952179,1.790137529373169,-138.2988739013672,256.05962523436943,125.88863731912062,55.67176541159038,126.6524887084961,0.0,1.0
60.0,128.86990356445312,155.94630432128906,60.0,60000,60.0,0.6470496654510498,1077.6957812309265,0.08243134617805481,10.021039962768555,0.0038384413346648216,0.048559170216321945,1000.0,15.8154878616333,82.12041473388672,816.8294712052765,128.39886429188553,60,0.0,15.062141418457031,0.6096470355987549,1.7951844930648804,-141.11325073242188,265.4057893338845,128.39886429188553,55.67433875584906,127.0030746459961,0.0,1.0
