eval/episodes,ret_rms_mean,reference_actor_Q_std,train/loss_critic,rollout/episode_steps,total/duration,total/steps_per_second,reference_Q_std,rollout/actions_mean,total/epochs,rollout/episodes,rollout/actions_std,total/steps,reference_actor_Q_mean,ret_rms_std,eval/Q,rollout/return_history,rollout/return,train/loss_actor,reference_action_std,reference_action_mean,rollout/Q_mean,reference_Q_mean,obs_rms_mean,eval/return_history,eval/return,train/param_noise_distance,total/episodes,obs_rms_std
51.0,0.0,11.300874710083008,56.92644500732422,1000.0,925.0018739700317,55.1350234363442,11.02423095703125,-0.07674062997102737,51,51.0,0.6500943303108215,51000,238.19407653808594,1.0,274.0506896972656,445.7031763648831,445.7031763648831,-255.88980102539062,0.8161031603813171,-0.1146172285079956,140.3385772705078,236.42257690429688,0.044231295585632324,833.4778986388629,1352.1153932044374,0.0,51.0,2.1992061138153076
52.0,0.0,11.564818382263184,23.456384658813477,1000.0,943.0821142196655,55.13835880879404,12.048321723937988,-0.07465466111898422,52,52.0,0.6497337222099304,52000,243.7353515625,1.0,270.59796142578125,458.60302653430966,458.60302653430966,-261.0250244140625,0.821769654750824,0.011144866235554218,142.8269805908203,240.69329833984375,0.044982824474573135,838.9516447460185,1118.1126962109456,0.0,52.0,2.209244728088379
53.0,0.0,11.987576484680176,37.94523239135742,1000.0,961.0787465572357,55.146365674879334,12.175694465637207,-0.07327507436275482,53,53.0,0.6510632038116455,53000,249.5003662109375,1.0,280.9591369628906,470.5116056722305,470.5116056722305,-265.6913757324219,0.8556391000747681,0.032951969653367996,145.3682861328125,246.33807373046875,0.04517727345228195,846.2781996218455,1227.2590531648566,0.0,53.0,2.2228469848632812
54.0,0.0,12.397530555725098,36.15372848510742,1000.0,979.4905741214752,55.1306989844529,13.788725852966309,-0.07155776023864746,54,54.0,0.6515064239501953,54000,254.4479217529297,1.0,249.75680541992188,484.69312385490036,484.69312385490036,-270.7097473144531,0.8253527879714966,0.04297199845314026,147.91038513183594,251.8132781982422,0.04603201523423195,833.2158412464906,140.9108473526788,0.0,54.0,2.236487865447998
55.0,0.0,11.714709281921387,49.86239242553711,1000.0,997.9907910823822,55.110728968099124,12.315113067626953,-0.07598518580198288,55,55.0,0.6538310050964355,55000,256.4522705078125,1.0,238.61077880859375,471.2880477074426,471.2880477074426,-272.50616455078125,0.7795006036758423,0.14853984117507935,149.36874389648438,254.6787109375,0.04719754680991173,813.2901770479452,-262.69568967350716,0.0,55.0,2.249983549118042
56.0,0.0,12.023983001708984,47.28187942504883,1000.0,1016.5007884502411,55.09095579293913,12.5326509475708,-0.08030984550714493,56,56.0,0.65607750415802,56000,258.59246826171875,1.0,290.537841796875,457.5558308820865,457.5558308820865,-274.2040710449219,0.7810128331184387,0.06229299306869507,150.80172729492188,256.7303466796875,0.04816492274403572,815.6177637703641,943.6350335034182,0.0,56.0,2.267148971557617
57.0,0.0,13.389851570129395,58.13438034057617,1000.0,1034.6609244346619,55.090511928963366,18.99235725402832,-0.08522234857082367,57,57.0,0.6589576601982117,57000,258.3503112792969,1.0,252.24627685546875,445.30266546751017,445.30266546751017,-277.0026550292969,0.7738114595413208,0.004655534867197275,152.1432342529297,255.46438598632812,0.04898807406425476,802.4554761253531,65.3673680047362,0.0,57.0,2.268916368484497
58.0,0.0,15.349924087524414,81.85433959960938,1000.0,1052.7801315784454,55.092225109757656,16.279277801513672,-0.08750930428504944,58,58.0,0.6585062742233276,58000,260.3565673828125,1.0,287.4085998535156,448.10171245066545,448.10171245066545,-279.1641845703125,0.7638604044914246,0.18811829388141632,154.59329223632812,258.34600830078125,0.04814179614186287,804.3982449158816,915.1360659760066,0.0,58.0,2.271221876144409
59.0,0.0,16.02615737915039,71.33029174804688,1000.0,1070.929012298584,55.09235376242688,16.784765243530273,-0.08829163759946823,59,59.0,0.6579025387763977,59000,263.42681884765625,1.0,305.3722229003906,454.4492115743549,454.4492115743549,-282.8705139160156,0.7580724954605103,0.1620728224515915,157.0155487060547,261.11810302734375,0.04769507050514221,813.4548906813883,1338.7403450807794,0.0,59.0,2.2779505252838135
60.0,0.0,15.718709945678711,81.90650177001953,1000.0,1089.2163875102997,55.08547308689169,18.15703010559082,-0.09176958352327347,60,60.0,0.659025251865387,60000,266.6484375,1.0,249.66842651367188,444.64489852449145,444.64489852449145,-283.2807312011719,0.8045592308044434,-0.14977993071079254,158.27120971679688,264.17437744140625,0.04858286678791046,800.8932652333957,59.75736380183829,0.0,60.0,2.285970687866211
61.0,0.0,15.546326637268066,64.24767303466797,1000.0,1107.3701040744781,55.08546760974986,16.38652992248535,-0.09648717194795609,61,61.0,0.6621603965759277,61000,269.33917236328125,1.0,312.74853515625,432.7975740917828,432.7975740917828,-285.32635498046875,0.7821144461631775,-0.13636747002601624,159.33743286132812,267.127197265625,0.04952201619744301,811.2577425136244,1433.1263793273451,0.0,61.0,2.2842354774475098
62.0,0.0,16.68998146057129,65.03400421142578,1000.0,1125.5664734840393,55.08337486997757,17.47715187072754,-0.09619072079658508,62,62.0,0.6614443063735962,62000,268.3393249511719,1.0,317.4973449707031,447.72804589441307,447.72804589441307,-288.0453796386719,0.7389857172966003,-0.2524055540561676,161.7814483642578,266.05242919921875,0.04988778755068779,822.9164251668091,1534.096067011073,0.0,62.0,2.2886178493499756
